Generation 169 | Best MCC: 0.4446
Generation 170 | Best MCC: 0.4446
Generation 171 | Best MCC: 0.4446
Generation 172 | Best MCC: 0.4446
Generation 173 | Best MCC: 0.4446
Generation 174 | Best MCC: 0.4446
Generation 175 | Best MCC: 0.4446
Generation 176 | Best MCC: 0.4446
Generation 177 | Best MCC: 0.4446
Generation 178 | Best MCC: 0.4446
Generation 179 | Best MCC: 0.4446
Generation 180 | Best MCC: 0.4446
Generation 181 | Best MCC: 0.4446
Generation 182 | Best MCC: 0.4446
Generation 183 | Best MCC: 0.4446
Generation 184 | Best MCC: 0.4446
Generation 185 | Best MCC: 0.4446
Generation 186 | Best MCC: 0.4446
Generation 187 | Best MCC: 0.4446
Generation 188 | Best MCC: 0.4446
Generation 189 | Best MCC: 0.4446
Generation 190 | Best MCC: 0.4446
Generation 191 | Best MCC: 0.4446
Generation 192 | Best MCC: 0.4446
Generation 193 | Best MCC: 0.4446
Generation 194 | Best MCC: 0.4446
Generation 195 | Best MCC: 0.4446
Generation 196 | Best MCC: 0.4446
Generation 197 | Best MCC: 0.4446
Generation 198 | Best MCC: 0.4446
Generation 199 | Best MCC: 0.4446
Generation 200 | Best MCC: 0.4446

Best individual:
{'C': 581.8591309473157, 'gamma': 0.001322009212309931, 'feature_count': 10}

Selected Features:
10_ hsa-let-7g, 24_ hsa-mir-106b, 109_ hsa-mir-1271, 174_ hsa-mir-133a-1, 233_ hsa-mir-186, 504_ hsa-mir-3605, 506_ hsa-mir-3607, 1388_ hsa-mir-589, 1701_ hsa-mir-6874, 1864_ hsa-mir-937
Feature count: 10

Train Set Performance:
Confusion Matrix:
[[133  24]
 [ 37  71]]
Sensitivity: 0.66
Specificity: 0.85
Accuracy: 0.77
MCC: 0.52

Test Set Performance:
Confusion Matrix:
[[32  7]
 [21 28]]
Sensitivity: 0.57
Specificity: 0.82
Accuracy: 0.68
MCC: 0.40

Support Vector Count:
Class 0: 89
Class 1: 86
Total: 175
