Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 570 | Best MCC: 0.5973
  Gen 580 | Best MCC: 0.5973
  Gen 590 | Best MCC: 0.5973
  Gen 600 | Best MCC: 0.5973
  Gen 610 | Best MCC: 0.5973
  Gen 620 | Best MCC: 0.5973
  Gen 630 | Best MCC: 0.5973
  Gen 640 | Best MCC: 0.5973
  Gen 650 | Best MCC: 0.5973
  Gen 660 | Best MCC: 0.5973
  Gen 670 | Best MCC: 0.5973
  Gen 680 | Best MCC: 0.5973
  Gen 690 | Best MCC: 0.5973
  Gen 700 | Best MCC: 0.5973
  Gen 710 | Best MCC: 0.5973
  Gen 720 | Best MCC: 0.5973
  Gen 730 | Best MCC: 0.5973
  Gen 740 | Best MCC: 0.5973
  Gen 750 | Best MCC: 0.5973
  Gen 760 | Best MCC: 0.5973
  Gen 770 | Best MCC: 0.5973
  Gen 780 | Best MCC: 0.5973
  Gen 790 | Best MCC: 0.5973
  Gen 800 | Best MCC: 0.5973
  Gen 810 | Best MCC: 0.5973
  Gen 820 | Best MCC: 0.5973
  Gen 830 | Best MCC: 0.5973
  Gen 840 | Best MCC: 0.5973
  Gen 850 | Best MCC: 0.5973
  Gen 860 | Best MCC: 0.5973
  Gen 870 | Best MCC: 0.5973
  Gen 880 | Best MCC: 0.5973
  Gen 890 | Best MCC: 0.5973
  Gen 900 | Best MCC: 0.5973
  Gen 910 | Best MCC: 0.5973
  Gen 920 | Best MCC: 0.5973
  Gen 930 | Best MCC: 0.5973
  Gen 940 | Best MCC: 0.5973
  Gen 950 | Best MCC: 0.5973
  Gen 960 | Best MCC: 0.5973
  Gen 970 | Best MCC: 0.5973
  Gen 980 | Best MCC: 0.5973
  Gen 990 | Best MCC: 0.5973
  Gen 1000 | Best MCC: 0.5973

=== Current Feature Count: 28 ===
  Gen 10 | Best MCC: 0.5705
  Gen 20 | Best MCC: 0.5705
  Gen 30 | Best MCC: 0.5783
  Gen 40 | Best MCC: 0.5783
  Gen 50 | Best MCC: 0.5809
  Gen 60 | Best MCC: 0.5809
  Gen 70 | Best MCC: 0.5855
  Gen 80 | Best MCC: 0.5855
  Gen 90 | Best MCC: 0.6081
  Gen 100 | Best MCC: 0.6081
  Gen 110 | Best MCC: 0.6081
  Gen 120 | Best MCC: 0.6081
  Gen 130 | Best MCC: 0.6081
  Gen 140 | Best MCC: 0.6081
  Gen 150 | Best MCC: 0.6081
  Gen 160 | Best MCC: 0.6081
  Gen 170 | Best MCC: 0.6081
  Gen 180 | Best MCC: 0.6081
  Gen 190 | Best MCC: 0.6081
  Gen 200 | Best MCC: 0.6081
  Gen 210 | Best MCC: 0.6081
  Gen 220 | Best MCC: 0.6081
  Gen 230 | Best MCC: 0.6081
  Gen 240 | Best MCC: 0.6158
  Gen 250 | Best MCC: 0.6158
  Gen 260 | Best MCC: 0.6158
  Gen 270 | Best MCC: 0.6158
  Gen 280 | Best MCC: 0.6158
  Gen 290 | Best MCC: 0.6158
  Gen 300 | Best MCC: 0.6158
  Gen 310 | Best MCC: 0.6158
  Gen 320 | Best MCC: 0.6158
  Gen 330 | Best MCC: 0.6158
  Gen 340 | Best MCC: 0.6158
  Gen 350 | Best MCC: 0.6158
  Gen 360 | Best MCC: 0.6158
  Gen 370 | Best MCC: 0.6158
  Gen 380 | Best MCC: 0.6158
  Gen 390 | Best MCC: 0.6158
  Gen 400 | Best MCC: 0.6158
  Gen 410 | Best MCC: 0.6158
  Gen 420 | Best MCC: 0.6158
  Gen 430 | Best MCC: 0.6158
  Gen 440 | Best MCC: 0.6158
  Gen 450 | Best MCC: 0.6158
  Gen 460 | Best MCC: 0.6158
  Gen 470 | Best MCC: 0.6158
  Gen 480 | Best MCC: 0.6158
  Gen 490 | Best MCC: 0.6158
  Gen 500 | Best MCC: 0.6158
  Gen 510 | Best MCC: 0.6158
  Gen 520 | Best MCC: 0.6158
  Gen 530 | Best MCC: 0.6255
  Gen 540 | Best MCC: 0.6255
  Gen 550 | Best MCC: 0.6314
  Gen 560 | Best MCC: 0.6314
  Gen 570 | Best MCC: 0.6447
  Gen 580 | Best MCC: 0.6447
  Gen 590 | Best MCC: 0.6447
  Gen 600 | Best MCC: 0.6447
  Gen 610 | Best MCC: 0.6447
  Gen 620 | Best MCC: 0.6447
  Gen 630 | Best MCC: 0.6447
  Gen 640 | Best MCC: 0.6447
  Gen 650 | Best MCC: 0.6447
  Gen 660 | Best MCC: 0.6447
  Gen 670 | Best MCC: 0.6471
  Gen 680 | Best MCC: 0.6471
  Gen 690 | Best MCC: 0.6477
  Gen 700 | Best MCC: 0.6477
  Gen 710 | Best MCC: 0.6477
  Gen 720 | Best MCC: 0.6477
  Gen 730 | Best MCC: 0.6477
  Gen 740 | Best MCC: 0.6547
  Gen 750 | Best MCC: 0.6547
  Gen 760 | Best MCC: 0.6547
  Gen 770 | Best MCC: 0.6550
  Gen 780 | Best MCC: 0.6550
  Gen 790 | Best MCC: 0.6550
  Gen 800 | Best MCC: 0.6550
  Gen 810 | Best MCC: 0.6550
  Gen 820 | Best MCC: 0.6550
  Gen 830 | Best MCC: 0.6550
  Gen 840 | Best MCC: 0.6550
  Gen 850 | Best MCC: 0.6550
  Gen 860 | Best MCC: 0.6550
