logFC,AveExpr,t,P.Value,adj.P.Val,B
X251_.hsa.mir.193b,-1.966250610002,2.05765162392788,-14.3400802543637,3.28563354366401e-38,5.52690499666339e-37,75.8353111037459
X868_.hsa.mir.450a.1,-2.92853477589247,2.30805110439423,-14.2733233177199,6.257118705879e-38,1.01624238292035e-36,75.1942328589887
X1518_.hsa.mir.660,-3.02359087850692,6.13006391926683,-14.2551930150889,7.45206933195831e-38,1.16997488511746e-36,75.0203012437667
X233_.hsa.mir.186,-1.13463453494213,9.2301059682476,-14.1414728001546,2.22649280176456e-37,3.38283261171324e-36,73.9310836163502
X1315_.hsa.mir.5584,1.94833271862931,2.02848015338942,14.0393760532061,5.93288421091011e-37,8.73246394793332e-36,72.9558104671998
X666_.hsa.mir.409,-3.13159567053946,1.76336904897115,-13.8564317007455,3.41389890194163e-36,4.8725647964076e-35,71.2146170970332
X1126_.hsa.mir.502,-1.99184933910707,3.42133498984856,-13.7328768394857,1.10786989630794e-35,1.53472565047364e-34,70.0434361128307
X342_.hsa.mir.301a,-2.29121572832057,4.5844702706875,-13.5347900364109,7.25400215262458e-35,9.76181432538908e-34,68.1740758806816
X1461_.hsa.mir.627,-1.49283204749572,2.34724258750481,-13.4096842791192,2.36415319402783e-34,3.09310042885307e-33,66.9988849040452
X11_.hsa.let.7i,-1.18307882370021,10.2345583805144,-13.390728523139,2.82656340154972e-34,3.59813881656735e-33,66.8211987201882
X512_.hsa.mir.3613,-2.02296727709304,5.39362093085337,-13.1940513946395,1.79341308885641e-33,2.22288832855624e-32,64.9835793285364
X1049_.hsa.mir.4766,-1.15477866296437,0.900508032526442,-13.1647628511456,2.3592291139289e-33,2.84922285297567e-32,64.7108753061204
X27_.hsa.mir.10b,-4.16184032235985,8.29170249309856,-13.0395247043365,7.59957499015838e-33,8.94849955091149e-32,63.547628539228
X353_.hsa.mir.30a,-3.0815457143162,8.72895009133173,-12.9923371507869,1.17946913537679e-32,1.35495112868894e-31,63.110546750958
X1462_.hsa.mir.628,-1.80576459509167,4.60529575948077,-12.8823975165768,3.27591587337356e-32,3.67370565799749e-31,62.0948294320321
X1056_.hsa.mir.4772,-2.61316698363632,5.50494036694471,-12.7819899587059,8.30095316001215e-32,9.09243939154819e-31,61.1704281899964
X182_.hsa.mir.136,-2.40490898449881,1.35766790415865,-12.6829296220132,2.07101524899969e-31,2.21692768699739e-30,60.2615314963377
X355_.hsa.mir.30c.1,-1.36299251176197,9.42210698318269,-12.6479388806105,2.85834945366669e-31,2.9917390948378e-30,59.9412321870117
X1452_.hsa.mir.618,-2.60431928907919,2.07752674050721,-12.6082817812616,4.11628543365933e-31,4.21471834620336e-30,59.578694500412
X356_.hsa.mir.30c.2,-1.36564530860753,9.41002029446875,-12.5028451307539,1.08282171935015e-30,1.08512559534876e-29,58.6173036004819
X992_.hsa.mir.4709,-0.980269039592582,0.757319467252404,-12.441768235547,1.89307480375882e-30,1.85757965118834e-29,58.0620702875513
X1726_.hsa.mir.708,-2.89860311845681,2.93587053794471,-12.366321449939,3.76811575300061e-30,3.62200514216997e-29,57.3779280868654
X674_.hsa.mir.425,-1.90462476004055,11.398257226262,-12.3146681412514,6.03011858142377e-30,5.68037170370119e-29,56.9106535434824
X223_.hsa.mir.181b.1,2.06173047326072,10.6125001709351,12.2080537005467,1.58697987380001e-29,1.46562258933295e-28,55.9490773994839
X1475_.hsa.mir.641,-1.06146343287234,0.814644275819712,-12.1715175123554,2.20902266754919e-29,2.00086476233782e-28,55.620458848046
X870_.hsa.mir.450b,-3.26378812346966,3.80729681833654,-11.8896821133303,2.78820176536895e-28,2.47781704054486e-27,53.1015175312575
X1257_.hsa.mir.548d.2,-0.893592618118826,0.822729009201923,-11.8345541704534,4.56317521996012e-28,3.98010283074299e-27,52.6121849594238
X1256_.hsa.mir.548d.1,-0.867088897290869,0.826200586591346,-11.8110264266428,5.62895985762337e-28,4.82043653261928e-27,52.4036892934153
